pill_id,is_cracked,weight,color,workflow_decision
P001,False,0.06,blue,ACCEPT
P002,False,0.15,blue,ACCEPT
P003,False,0.66,black,ACCEPT
P004,False,0.66,blue,ACCEPT
P005,False,0.64,blue,ACCEPT
P006,False,0.29,red,ACCEPT
P007,False,0.63,pink,ACCEPT
P008,False,0.53,blue,ACCEPT
P009,False,0.33,black,ACCEPT
P010,False,0.86,blue,ACCEPT
P011,False,0.44,blue,ACCEPT
P012,False,0.36,blue,ACCEPT
P013,False,0.07,blue,ACCEPT
P014,False,0.62,blue,ACCEPT
P015,False,0.55,blue,ACCEPT
P016,False,0.37,blue,ACCEPT
P017,False,0.77,blue,ACCEPT
P018,False,0.35,blue,ACCEPT
P019,False,0.71,black,ACCEPT
P020,False,0.18,black,ACCEPT
P021,False,0.07,blue,ACCEPT
P022,False,0.87,pink,ACCEPT
P023,False,0.31,blue,ACCEPT
P024,False,0.2,black,ACCEPT
P025,False,0.43,pink,ACCEPT
P026,False,0.32,blue,ACCEPT
P027,False,0.43,red,ACCEPT
P028,False,0.55,blue,ACCEPT
P029,False,0.53,yellow,ACCEPT
P030,False,0.18,blue,ACCEPT
P031,False,0.5,blue,ACCEPT
P032,False,0.6,blue,ACCEPT
P033,False,0.93,blue,ACCEPT
P034,False,0.16,blue,ACCEPT
P035,False,0.34,blue,ACCEPT
P036,False,0.22,blue,ACCEPT
P037,False,0.42,white,ACCEPT
P038,False,0.54,blue,ACCEPT
P039,False,0.68,blue,ACCEPT
P040,False,0.83,blue,ACCEPT
P041,False,0.11,blue,ACCEPT
P042,False,0.53,red,ACCEPT
P043,False,0.19,blue,ACCEPT
P044,False,0.85,blue,ACCEPT
P045,False,0.69,blue,ACCEPT
P046,False,0.67,blue,ACCEPT
P047,False,0.64,blue,ACCEPT
P048,False,0.92,white,ACCEPT
P049,True,0.21,blue,ACCEPT
P050,False,0.51,blue,ACCEPT
P051,False,0.28,white,ACCEPT
P052,False,0.76,white,ACCEPT
P053,False,0.61,blue,ACCEPT
P054,False,0.28,blue,ACCEPT
P055,False,0.38,blue,ACCEPT
P056,False,0.2,blue,ACCEPT
P057,False,0.22,white,ACCEPT
P058,False,0.74,white,ACCEPT
P059,False,0.44,blue,ACCEPT
P060,False,0.93,white,ACCEPT
P061,False,0.65,blue,ACCEPT
P062,False,0.46,blue,ACCEPT
P063,False,0.32,pink,ACCEPT
P064,False,0.49,blue,ACCEPT
P065,False,0.39,blue,ACCEPT
P066,False,0.2,blue,ACCEPT
P067,False,0.58,red,ACCEPT
P068,False,0.46,blue,ACCEPT
P069,False,0.64,black,ACCEPT
P070,False,0.06,blue,ACCEPT
P071,False,0.4,pink,ACCEPT
P072,False,0.05,blue,ACCEPT
P073,False,0.87,blue,ACCEPT
P074,False,0.19,blue,ACCEPT
P075,False,0.44,blue,ACCEPT
P076,False,0.3,blue,ACCEPT
P077,False,0.77,blue,ACCEPT
P078,False,0.53,blue,ACCEPT
P079,False,0.36,blue,ACCEPT
P080,False,0.23,blue,ACCEPT
P081,False,0.7,blue,ACCEPT
P082,False,0.3,blue,ACCEPT
P083,False,0.23,blue,ACCEPT
P084,False,0.24,blue,ACCEPT
P085,False,0.22,blue,ACCEPT
P086,False,0.38,blue,ACCEPT
P087,False,0.25,blue,ACCEPT
P088,False,0.25,blue,ACCEPT
P089,False,0.66,blue,ACCEPT
P090,False,0.11,black,ACCEPT
P091,False,0.3,pink,ACCEPT
P092,False,0.09,blue,ACCEPT
P093,False,0.16,blue,ACCEPT
P094,False,0.74,blue,ACCEPT
P095,False,0.95,blue,ACCEPT
P096,False,0.77,blue,ACCEPT
P097,False,0.27,blue,ACCEPT
P098,False,0.27,blue,ACCEPT
P099,True,0.69,pink,ACCEPT
P100,False,0.1,blue,ACCEPT
