color,is_cracked,pill_id,weight,original_source_file,workflow_decision
blue,False,P001,0.06,pill_data.csv,ACCEPT
blue,False,P002,0.15,pill_data.csv,ACCEPT
black,False,P003,0.66,pill_data.csv,ACCEPT
blue,False,P004,0.66,pill_data.csv,ACCEPT
blue,False,P005,0.64,pill_data.csv,ACCEPT
red,False,P006,0.29,pill_data.csv,ACCEPT
pink,False,P007,0.63,pill_data.csv,ACCEPT
blue,False,P008,0.53,pill_data.csv,ACCEPT
black,False,P009,0.33,pill_data.csv,ACCEPT
blue,False,P010,0.86,pill_data.csv,DISCARD
blue,False,P011,0.44,pill_data.csv,ACCEPT
blue,False,P012,0.36,pill_data.csv,ACCEPT
blue,False,P013,0.07,pill_data.csv,ACCEPT
blue,False,P014,0.62,pill_data.csv,ACCEPT
blue,False,P015,0.55,pill_data.csv,ACCEPT
blue,False,P016,0.37,pill_data.csv,ACCEPT
blue,False,P017,0.77,pill_data.csv,ACCEPT
blue,False,P018,0.35,pill_data.csv,ACCEPT
black,False,P019,0.71,pill_data.csv,ACCEPT
black,False,P020,0.18,pill_data.csv,ACCEPT
blue,False,P021,0.07,pill_data.csv,ACCEPT
pink,False,P022,0.87,pill_data.csv,DISCARD
blue,False,P023,0.31,pill_data.csv,ACCEPT
black,False,P024,0.2,pill_data.csv,ACCEPT
pink,False,P025,0.43,pill_data.csv,ACCEPT
blue,False,P026,0.32,pill_data.csv,ACCEPT
red,False,P027,0.43,pill_data.csv,ACCEPT
blue,False,P028,0.55,pill_data.csv,ACCEPT
yellow,False,P029,0.53,pill_data.csv,ACCEPT
blue,False,P030,0.18,pill_data.csv,ACCEPT
blue,False,P031,0.5,pill_data.csv,ACCEPT
blue,False,P032,0.6,pill_data.csv,ACCEPT
blue,False,P033,0.93,pill_data.csv,DISCARD
blue,False,P034,0.16,pill_data.csv,ACCEPT
blue,False,P035,0.34,pill_data.csv,ACCEPT
blue,False,P036,0.22,pill_data.csv,ACCEPT
white,False,P037,0.42,pill_data.csv,ACCEPT
blue,False,P038,0.54,pill_data.csv,ACCEPT
blue,False,P039,0.68,pill_data.csv,ACCEPT
blue,False,P040,0.83,pill_data.csv,DISCARD
blue,False,P041,0.11,pill_data.csv,ACCEPT
red,False,P042,0.53,pill_data.csv,ACCEPT
blue,False,P043,0.19,pill_data.csv,ACCEPT
blue,False,P044,0.85,pill_data.csv,DISCARD
blue,False,P045,0.69,pill_data.csv,ACCEPT
blue,False,P046,0.67,pill_data.csv,ACCEPT
blue,False,P047,0.64,pill_data.csv,ACCEPT
white,False,P048,0.92,pill_data.csv,DISCARD
blue,True,P049,0.21,pill_data.csv,ACCEPT
blue,False,P050,0.51,pill_data.csv,ACCEPT
white,False,P051,0.28,pill_data.csv,ACCEPT
white,False,P052,0.76,pill_data.csv,ACCEPT
blue,False,P053,0.61,pill_data.csv,ACCEPT
blue,False,P054,0.28,pill_data.csv,ACCEPT
blue,False,P055,0.38,pill_data.csv,ACCEPT
blue,False,P056,0.2,pill_data.csv,ACCEPT
white,False,P057,0.22,pill_data.csv,ACCEPT
white,False,P058,0.74,pill_data.csv,ACCEPT
blue,False,P059,0.44,pill_data.csv,ACCEPT
white,False,P060,0.93,pill_data.csv,DISCARD
blue,False,P061,0.65,pill_data.csv,ACCEPT
blue,False,P062,0.46,pill_data.csv,ACCEPT
pink,False,P063,0.32,pill_data.csv,ACCEPT
blue,False,P064,0.49,pill_data.csv,ACCEPT
blue,False,P065,0.39,pill_data.csv,ACCEPT
blue,False,P066,0.2,pill_data.csv,ACCEPT
red,False,P067,0.58,pill_data.csv,ACCEPT
blue,False,P068,0.46,pill_data.csv,ACCEPT
black,False,P069,0.64,pill_data.csv,ACCEPT
blue,False,P070,0.06,pill_data.csv,ACCEPT
pink,False,P071,0.4,pill_data.csv,ACCEPT
blue,False,P072,0.05,pill_data.csv,ACCEPT
blue,False,P073,0.87,pill_data.csv,DISCARD
blue,False,P074,0.19,pill_data.csv,ACCEPT
blue,False,P075,0.44,pill_data.csv,ACCEPT
blue,False,P076,0.3,pill_data.csv,ACCEPT
blue,False,P077,0.77,pill_data.csv,ACCEPT
blue,False,P078,0.53,pill_data.csv,ACCEPT
blue,False,P079,0.36,pill_data.csv,ACCEPT
blue,False,P080,0.23,pill_data.csv,ACCEPT
blue,False,P081,0.7,pill_data.csv,ACCEPT
blue,False,P082,0.3,pill_data.csv,ACCEPT
blue,False,P083,0.23,pill_data.csv,ACCEPT
blue,False,P084,0.24,pill_data.csv,ACCEPT
blue,False,P085,0.22,pill_data.csv,ACCEPT
blue,False,P086,0.38,pill_data.csv,ACCEPT
blue,False,P087,0.25,pill_data.csv,ACCEPT
blue,False,P088,0.25,pill_data.csv,ACCEPT
blue,False,P089,0.66,pill_data.csv,ACCEPT
black,False,P090,0.11,pill_data.csv,ACCEPT
pink,False,P091,0.3,pill_data.csv,ACCEPT
blue,False,P092,0.09,pill_data.csv,ACCEPT
blue,False,P093,0.16,pill_data.csv,ACCEPT
blue,False,P094,0.74,pill_data.csv,ACCEPT
blue,False,P095,0.95,pill_data.csv,DISCARD
blue,False,P096,0.77,pill_data.csv,ACCEPT
blue,False,P097,0.27,pill_data.csv,ACCEPT
blue,False,P098,0.27,pill_data.csv,ACCEPT
pink,True,P099,0.69,pill_data.csv,ACCEPT
blue,False,P100,0.1,pill_data.csv,ACCEPT
